qa_name,config_name,node_line_name,node_type,module_name,top_k,bm25_tokenizer,vectordb,normalize_method,retrieval_recall,retrieval_mrr,retrieval_ndcg,retrieval_f1,retrieval_precision,execution_time,is_best,module_params_json,node_params_json,summary_path,best_execution_time,best_module_filename,best_module_name,best_module_params,filename,module_params,retrieval_map,test_weight_size,weight_range
0,retrieve_node_line,,,BM25,5,porter_stemmer,,,0.71,0.344,0.4340522844083854,0.2366666666666667,0.142,0.0015499448776245,True,"{""bm25_tokenizer"": ""porter_stemmer"", ""top_k"": 5}",{},rag_corpus/autorag/vega_lite/trials/0/retrieve_node_line/lexical_retrieval/summary.csv,,,,,0.parquet,"{'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'}",,,
0,retrieve_node_line,,lexical_retrieval,,,,,,,,,,,,,{},{},rag_corpus/autorag/vega_lite/trials/0/retrieve_node_line/summary.csv,0.0015499448776245,0.parquet,BM25,"{'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'}",,,,,
qa_all,01_bm25_topk_03,,,BM25,3,porter_stemmer,,,1.0,1.0,1.0,0.5,0.3333333333333334,0.0019003844261169,True,"{""bm25_tokenizer"": ""porter_stemmer"", ""top_k"": 3}",{},rag_corpus/autorag/vega_lite/trials/qa_all/01_bm25_topk_03/0/retrieve_node_line/lexical_retrieval/summary.csv,,,,,0.parquet,"{'top_k': 3, 'bm25_tokenizer': 'porter_stemmer'}",1.0,,
qa_all,02_bm25_topk_05,,,BM25,5,porter_stemmer,,,1.0,1.0,1.0,0.3333333333333335,0.1999999999999999,0.0021867775917053,True,"{""bm25_tokenizer"": ""porter_stemmer"", ""top_k"": 5}",{},rag_corpus/autorag/vega_lite/trials/qa_all/02_bm25_topk_05/0/retrieve_node_line/lexical_retrieval/summary.csv,,,,,0.parquet,"{'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'}",1.0,,
qa_all,05_bm25_tokenizer_sweep_topk_05,,,BM25,5,porter_stemmer,,,1.0,1.0,1.0,0.3333333333333335,0.1999999999999999,0.0021499800682067,True,"{""bm25_tokenizer"": ""porter_stemmer"", ""top_k"": 5}",{},rag_corpus/autorag/vega_lite/trials/qa_all/05_bm25_tokenizer_sweep_topk_05/0/retrieve_node_line/lexical_retrieval/summary.csv,,,,,0.parquet,"{'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'}",1.0,,
qa_all,03_bm25_topk_10,,,BM25,10,porter_stemmer,,,1.0,1.0,1.0,0.1818181818181819,0.0999999999999999,0.0032302784919738,True,"{""bm25_tokenizer"": ""porter_stemmer"", ""top_k"": 10}",{},rag_corpus/autorag/vega_lite/trials/qa_all/03_bm25_topk_10/0/retrieve_node_line/lexical_retrieval/summary.csv,,,,,0.parquet,"{'top_k': 10, 'bm25_tokenizer': 'porter_stemmer'}",1.0,,
qa_all,06_bm25_tokenizer_sweep_topk_10,,,BM25,10,porter_stemmer,,,1.0,1.0,1.0,0.1818181818181819,0.0999999999999999,0.003509624004364,True,"{""bm25_tokenizer"": ""porter_stemmer"", ""top_k"": 10}",{},rag_corpus/autorag/vega_lite/trials/qa_all/06_bm25_tokenizer_sweep_topk_10/0/retrieve_node_line/lexical_retrieval/summary.csv,,,,,1.parquet,"{'top_k': 10, 'bm25_tokenizer': 'porter_stemmer'}",1.0,,
qa_all,04_bm25_topk_20,,,BM25,20,porter_stemmer,,,1.0,1.0,1.0,0.0952380952380952,0.0499999999999999,0.0055310940742492,True,"{""bm25_tokenizer"": ""porter_stemmer"", ""top_k"": 20}",{},rag_corpus/autorag/vega_lite/trials/qa_all/04_bm25_topk_20/0/retrieve_node_line/lexical_retrieval/summary.csv,,,,,0.parquet,"{'top_k': 20, 'bm25_tokenizer': 'porter_stemmer'}",1.0,,
qa_all,05_bm25_tokenizer_sweep_topk_05,,,BM25,5,space,,,1.0,0.995,0.9963092975357144,0.3333333333333335,0.1999999999999999,0.0019162535667419,False,"{""bm25_tokenizer"": ""space"", ""top_k"": 5}",{},rag_corpus/autorag/vega_lite/trials/qa_all/05_bm25_tokenizer_sweep_topk_05/0/retrieve_node_line/lexical_retrieval/summary.csv,,,,,1.parquet,"{'top_k': 5, 'bm25_tokenizer': 'space'}",0.995,,
qa_all,06_bm25_tokenizer_sweep_topk_10,,,BM25,10,space,,,1.0,0.995,0.9963092975357144,0.1818181818181819,0.0999999999999999,0.003119101524353,False,"{""bm25_tokenizer"": ""space"", ""top_k"": 10}",{},rag_corpus/autorag/vega_lite/trials/qa_all/06_bm25_tokenizer_sweep_topk_10/0/retrieve_node_line/lexical_retrieval/summary.csv,,,,,0.parquet,"{'top_k': 10, 'bm25_tokenizer': 'space'}",0.995,,
